name,alt_names,ra_deg,dec_deg,t0_utc,t0_met,t0_precision,in_fermi_era,time_type,time_value,time_scale,redshift,dist_note,class,subclass,gold,radio_loud,xray_loud,spec_confirmed,sample_paper,coord_source,time_source,z_source,merged_from,verification,notes,tier,tier_note,timing_quality,min_window_s,tier_role
AT2024qfm,ZTF24aaxhxhf; PS24hhm,350.347753,11.942233,2024-07-27T08:18:46.000,743761131.00,subday,y,discovery,2024-07-27T08:18:46,UTC-ISO,0.2270,,LFBOT_gold,AT2018cow-like,y,y,y,y,Sevilla+2026 (arXiv:2601.18926); radio data Nayana et al. in prep,TNS (ZTF/ALeRCE): 350.347753414 +11.9422331171,TNS discovery timestamp 2024-07-27 08:18:45.996 (ZTF); matches Sevilla+2026 Table 1,Sevilla+2026 (arXiv:2601.18926) Table 1,gold_lfbots;ho23_ztf;recent_sweep,VERIFIED,"X-ray: Swift detection, general decline with one significant rebrightening (Sevilla+2026). Radio: VLA + NOEMA detections (Sevilla+2026). Host SDSS J232123.40+115632.7. Spectroscopic confirmation of z not independently verified.",G1,secure engine LFBOT,subday,10,primary
AT2024wpp,ZTF24abjjpbo; PS24jhj; GOTO24gjk; ATLAS24ond; SN 2024wpp (TNS),40.522912,-16.956360,2024-09-25T10:33:36.000,748953221.00,subday,y,first_detection,2024-09-25T10:33:36,UTC-ISO,0.0868,DL=411 Mpc (Nayana+2025),LFBOT_gold,AT2018cow-like,y,y,y,y,"Nayana+2025 (arXiv:2509.00952); Pursiainen+2026 (arXiv:2602.20523); modeling: arXiv:2601.03372, arXiv:2601.03337",TNS (ZTF): 40.5229121965 -16.9563601815,'discovered on 2024 September 25.44 UT (MJD 60578.4) in the ZTF survey data' (Nayana+2025); TNS discovery timestamp 2024-09-26 08:54:09,"z=0.0868 (Nayana+2025, arXiv:2509.00952)",gold_lfbots,VERIFIED,"Most optically luminous LFBOT to date. X-ray: Lx~1.5e43 erg/s, variable, Swift/XRT from dt=2.1 d; NuSTAR Compton hump (Nayana+2025). Radio: VLA 10/15 GHz, L10GHz~5e28 erg/s/Hz at ~29 d (Nayana+2025). TNS classified SN with 'Blue featureless spectrum'.",G1,secure engine LFBOT,subday,10,primary
AT2024aehp,ZTF24abygbss,125.281129,28.739529,2024-12-19T08:34:33.000,756290078.00,subday,y,discovery,2024-12-19T08:34:33,UTC-ISO,0.1715,host SDSS J082107.46+284422.0,LFBOT_gold,AT2018cow-like,y,y,n,y,Sevilla+2026 (arXiv:2601.18926),TNS (ZTF/ALeRCE): 125.28112887136 +28.739528539299,TNS discovery timestamp 2024-12-19 08:34:33.001 (ZTF); Sevilla+2026 Table 1 lists 2024-12-19 10:02:49 (discrepancy noted),Sevilla+2026 (arXiv:2601.18926) Table 1,gold_lfbots;ho23_ztf;recent_sweep,VERIFIED,"Atypical: luminous (M<-19) optical plateau; 6-15 GHz radio brightened >1 dex from t_rest~70 d to ~130 d; NOEMA detection 2025-05-23 (Sevilla+2026). X-ray: Swift XRT non-detection, upper limits only. Most recent known LFBOT (as of 2026-07). Spectroscopic confirmation of z not independently verified.",G1,secure engine LFBOT,subday,10,primary
AT2026dbl,"ZTF26aaglqak, Dibbler",135.322346202,18.602131551,2026-02-14T08:23:00.000,792750185.00,subday,y,discovery,2026-02-14T08:23:00,UTC-ISO,0.19,host SDSS J090117.42+183606.5; z from narrow Mg II absorption,LFBOT_gold,LFBOT,y,y,y,y,Jayaraman+2026 arXiv:2606.17129 (14-LFBOT census),TNS object page,TNS object page (=MJD 61085.35 first ZTF detection per AstroNote 2026-36),TNS AstroNote 2026-36,recent_sweep,VERIFIED,"Keck LRIS featureless blue spectrum, M_u<~-21.6 (AstroNote 2026-36); EP-FXT X-ray detection L_X=6.4e42 erg/s cow-like (AstroNote 2026-38); 90 GHz MUSTANG-2/GBT detection reported (Orlowski-Scherer/Romero/Ho AstroNote; note ID not retrieved this session)",G2,provisional LFBOT (2026 / circular-level classification),subday,10,variant
SNLS04D4ec,,334.12204,-18.18447,2004-07-09T00:00:00.000,111024000.00,day,n,discovery,2004-07-09,UTC-ISO,0.593,,FBOT_candidate,rapidly_rising_luminous,n,,,y,"Arcavi et al. 2016, ApJ 819, 35 (arXiv:1511.00704)","Arcavi+2016 Table 1 (arXiv:1511.00704), sexagesimal converted",Arcavi+2016 Table 1 discovery date,Arcavi+2016 Table 1 (spec),misc_surveys,VERIFIED,"pre-Fermi (2004); rapidly rising gap transient, M_peak=-20.33+/-0.06",B3,poorly anchored (position-only / pre-Fermi),none,,persistent_or_excluded
SNLS05D2bk,,150.55817,2.09867,2005-01-15T00:00:00.000,127440000.00,day,n,discovery,2005-01-15,UTC-ISO,0.699,,FBOT_candidate,rapidly_rising_luminous,n,,,y,"Arcavi et al. 2016, ApJ 819, 35 (arXiv:1511.00704)","Arcavi+2016 Table 1 (arXiv:1511.00704), sexagesimal converted",Arcavi+2016 Table 1 discovery date,Arcavi+2016 Table 1 (spec),misc_surveys,VERIFIED,"pre-Fermi (2005); rapidly rising gap transient, M_peak=-20.34+/-0.02",B3,poorly anchored (position-only / pre-Fermi),none,,persistent_or_excluded
SNLS06D1hc,,36.20104,-4.93433,2006-11-14T00:00:00.000,185155201.00,day,n,discovery,2006-11-14,UTC-ISO,0.555,,FBOT_candidate,rapidly_rising_luminous,n,,,y,"Arcavi et al. 2016, ApJ 819, 35 (arXiv:1511.00704)","Arcavi+2016 Table 1 (arXiv:1511.00704), sexagesimal converted",Arcavi+2016 Table 1 discovery date,Arcavi+2016 Table 1 (spec),misc_surveys,VERIFIED,"pre-Fermi (2006); rapidly rising gap transient, M_peak=-20.22+/-0.03",B3,poorly anchored (position-only / pre-Fermi),none,,persistent_or_excluded
Dougie,ROTSE3 J120847.9+430121,182.19946,43.02225,2009-01-21T07:26:24.000,254215586.00,subday,y,first_detection,54852.31,MJD,0.191,~900 Mpc (paper),FBOT_candidate,TDE_candidate,n,,,y,"Vinko et al. 2015, ApJ 798, 12 (arXiv:1410.6014)","Vinko+2015 (arXiv:1410.6014): R.A.=12h08m47.87s Dec=+43d01m20.1s, converted",Vinko+2015: first detection MJD 54852.31 (2009 Jan 21 UT 07:26:24),Vinko+2015 (host spec-z),misc_surveys,VERIFIED,"Luminous fast-rising UV transient (rise ~10 d, M~-22.6); featureless cooling continuum; interpreted as super-Eddington TDE; retrospectively grouped with luminous fast coolers by Nicholl+2023",B1,spectroscopically classified rapid transient (TDE_candidate),subday,10,comparison
PS1-10ah,SN 2010bf,162.065767,57.405411,2010-02-21T12:00:00.000,288446402.00,subday,y,first_detection,55248.5,MJD,0.074,d_L=330.5 Mpc (Drout+2014 Table 1),FBOT_survey,gold,n,,,host_z_only,"Drout+2014 ApJ 794,23 (arXiv:1405.3668)",Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1; cross-checked ar5iv HTML arXiv:1405.3668,VizieR J/ApJ/794/23/table2 (first photometry point not flagged as 3-sigma upper limit),Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1,drout14_ps1,VERIFIED,first det g_P1=22.18 mag at MJD 55248.5; discovery date 2010-02-21 (Table 1); observed g_P1 max at MJD 55251.4 (VizieR table2 Phase=0); = SN 2010bf (SIMBAD alt id); host-galaxy spectra only (Table 3),B2,photometric rapidly-evolving transient,subday,10,comparison
PTF10iam,,236.37854,54.04250,2010-05-22T00:00:00.000,296179202.00,day,y,discovery,2010-05-22,UTC-ISO,0.109,,FBOT_candidate,rapidly_rising_luminous,n,,,y,"Arcavi et al. 2016, ApJ 819, 35 (arXiv:1511.00704)","Arcavi+2016 Table 1 (arXiv:1511.00704), sexagesimal converted",Arcavi+2016 Table 1 discovery date; first tabulated R-band photometry MJD 55345.472,Arcavi+2016 Table 1 (spec),misc_surveys,VERIFIED,"Rapidly rising (<10 d) gap transient, M_peak=-20.16+/-0.01; rise fast but decline SN-like, not a classical FBOT",B1,spectroscopically classified rapid transient (rapidly_rising_luminous),day,100000,comparison
PS1-10iu,,242.895358,55.146642,2010-06-05T12:00:00.000,297432002.00,subday,y,first_detection,55352.5,MJD,,no distance published (bronze: host not spectroscopically confirmed),FBOT_survey,bronze,n,,,n,"Drout+2014 ApJ 794,23 (arXiv:1405.3668)",Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1; cross-checked ar5iv HTML arXiv:1405.3668,VizieR J/ApJ/794/23/table2 (first photometry point not flagged as 3-sigma upper limit),,drout14_ps1,VERIFIED,first det z_P1=23.18 mag at MJD 55352.5; discovery date 2010-06-06 (Table 1); bronze: extragalactic nature of host not spectroscopically confirmed; no redshift/distance in paper,B2,photometric rapidly-evolving transient,subday,10,comparison
PS1-10bjp,,351.589175,-1.523086,2010-09-04T12:00:00.000,305294402.00,subday,y,first_detection,55443.5,MJD,0.113,d_L=518.6 Mpc (Drout+2014 Table 1),FBOT_survey,gold,n,,,host_z_only,"Drout+2014 ApJ 794,23 (arXiv:1405.3668)",Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1; cross-checked ar5iv HTML arXiv:1405.3668,VizieR J/ApJ/794/23/table2 (first photometry point not flagged as 3-sigma upper limit),Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1,drout14_ps1,VERIFIED,first det g_P1=22.50 mag at MJD 55443.5; discovery date 2010-10-24 (Table 1); observed g_P1 max at MJD 55446.6 (VizieR table2 Phase=0); host-galaxy spectra only (Table 3),B2,photometric rapidly-evolving transient,subday,10,comparison
PS1-11qr,,149.174029,1.893958,2011-03-29T09:36:00.000,323084162.00,subday,y,first_detection,55649.4,MJD,0.324,d_L=1685.3 Mpc (Drout+2014 Table 1),FBOT_survey,gold,n,,,host_z_only,"Drout+2014 ApJ 794,23 (arXiv:1405.3668)",Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1; cross-checked ar5iv HTML arXiv:1405.3668,VizieR J/ApJ/794/23/table2 (first photometry point not flagged as 3-sigma upper limit),Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1,drout14_ps1,VERIFIED,first det z_P1=22.22 mag at MJD 55649.4; discovery date 2011-04-02 (Table 1); observed g_P1 max at MJD 55653.4 (VizieR table2 Phase=0); host-galaxy spectrum only (Table 3),B2,photometric rapidly-evolving transient,subday,10,comparison
PS1-11bbq,,130.644721,42.930447,2011-11-27T12:00:00.000,344088002.00,subday,y,first_detection,55892.5,MJD,0.646,d_L=3857.8 Mpc (Drout+2014 Table 1),FBOT_survey,silver,n,,,y,"Drout+2014 ApJ 794,23 (arXiv:1405.3668)",Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1; cross-checked ar5iv HTML arXiv:1405.3668,VizieR J/ApJ/794/23/table2 (first photometry point not flagged as 3-sigma upper limit),Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1,drout14_ps1,VERIFIED,first det r_P1=22.98 mag at MJD 55892.5; discovery date 2011-12-01 (Table 1); observed g_P1 max at MJD 55895.6 (VizieR table2 Phase=0); transient spectrum at +2d (Table 3); blue continuum; highest-z object in sample,B1,spectroscopically classified rapid transient (silver),subday,10,comparison
PS1-12bb,,149.349442,3.184575,2012-01-19T12:00:00.000,348667202.00,subday,y,first_detection,55945.5,MJD,0.101,d_L=459.7 Mpc (Drout+2014 Table 1),FBOT_survey,gold,n,,,y,"Drout+2014 ApJ 794,23 (arXiv:1405.3668)",Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1; cross-checked ar5iv HTML arXiv:1405.3668,VizieR J/ApJ/794/23/table2 (first photometry point not flagged as 3-sigma upper limit),Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1,drout14_ps1,VERIFIED,first det i_P1=21.12 mag at MJD 55945.5; discovery date 2012-01-20 (Table 1); observed g_P1 max at MJD 55947.6 (VizieR table2 Phase=0); transient spectra at +5d and +33d (Table 3); ~6000-7000 K blackbody continuum,B1,spectroscopically classified rapid transient (gold),subday,10,comparison
PS1-12bv,,186.394175,46.690825,2012-01-19T14:24:00.000,348675842.00,subday,y,first_detection,55945.6,MJD,0.405,d_L=2192.2 Mpc (Drout+2014 Table 1),FBOT_survey,gold,n,,,y,"Drout+2014 ApJ 794,23 (arXiv:1405.3668)",Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1; cross-checked ar5iv HTML arXiv:1405.3668,VizieR J/ApJ/794/23/table2 (first photometry point not flagged as 3-sigma upper limit),Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1,drout14_ps1,VERIFIED,first det i_P1=22.53 mag at MJD 55945.6; discovery date 2012-01-20 (Table 1); observed g_P1 max at MJD 55949.6 (VizieR table2 Phase=0); transient spectrum at +2d (Table 3); blue continuum,B1,spectroscopically classified rapid transient (gold),subday,10,comparison
SN 2002bj,,77.94338,-15.13633,2002-02-28T00:00:00.000,36547200.00,day,n,discovery,2002-02-28,UTC-ISO,0.012,"NGC 1821, 50+/-5 Mpc (paper)",FBOT_candidate,fast_SN_.Ia,n,,,y,"Poznanski et al. 2010, Science (arXiv:0911.2699)",TNS (wis-tns.org/object/2002bj): 05:11:46.411 -15:08:10.79 = 77.94338 -15.13633,Poznanski+2010 (arXiv:0911.2699): discovered 2002 Feb 28.2 UT; TNS discovery date 2002-02-28,TNS; Poznanski+2010 distance,misc_surveys,VERIFIED,"pre-Fermi (2002); unusually fast-evolving SN: B-band drop 4.5 mag in 18 d, extremely blue spectrum, M_peak>-18; proposed .Ia helium-shell detonation; historical fast-blue-transient benchmark",B3,poorly anchored (position-only / pre-Fermi),none,,persistent_or_excluded
PS1-12brf,,334.028717,-0.969392,2012-10-07T09:36:00.000,371295363.00,subday,y,first_detection,56207.4,MJD,0.275,d_L=1393.6 Mpc (Drout+2014 Table 1),FBOT_survey,gold,n,,,y,"Drout+2014 ApJ 794,23 (arXiv:1405.3668)",Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1; cross-checked ar5iv HTML arXiv:1405.3668,VizieR J/ApJ/794/23/table2 (first photometry point not flagged as 3-sigma upper limit),Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1,drout14_ps1,VERIFIED,first det i_P1=23.40 mag at MJD 56207.4; discovery date 2012-10-10 (Table 1); observed g_P1 max at MJD 56209.2 (VizieR table2 Phase=0); transient spectrum at +4d (Table 3); blue continuum,B1,spectroscopically classified rapid transient (gold),subday,10,comparison
PS1-13aea,,184.559667,47.336833,2013-04-03T12:00:00.000,386683203.00,subday,y,first_detection,56385.5,MJD,,no distance published (bronze: host not spectroscopically confirmed),FBOT_survey,bronze,n,,,n,"Drout+2014 ApJ 794,23 (arXiv:1405.3668)",Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1; cross-checked ar5iv HTML arXiv:1405.3668,VizieR J/ApJ/794/23/table2 (first photometry point not flagged as 3-sigma upper limit),,drout14_ps1,VERIFIED,first det i_P1=21.51 mag at MJD 56385.5; discovery date 2013-04-07 (Table 1); bronze: extragalactic nature of host not spectroscopically confirmed; no redshift/distance in paper,B2,photometric rapidly-evolving transient,subday,10,comparison
PS1-13bit,,243.003187,54.268933,2013-05-04T12:00:00.000,389361603.00,subday,y,first_detection,56416.5,MJD,,no distance published (bronze: host not spectroscopically confirmed),FBOT_survey,bronze,n,,,n,"Drout+2014 ApJ 794,23 (arXiv:1405.3668)",Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1; cross-checked ar5iv HTML arXiv:1405.3668,VizieR J/ApJ/794/23/table2 (first photometry point not flagged as 3-sigma upper limit),,drout14_ps1,VERIFIED,"first det g_P1=23.83 mag at MJD 56416.5; discovery date 2013-05-12 (Table 1); bronze: no redshift in paper; GTC/OSIRIS transient spectrum exists (footnote 5): blue continuum, no narrow features, so not classifiable/confirmed",B2,photometric rapidly-evolving transient,subday,10,comparison
PS1-13cgt,,244.734354,54.326031,2013-07-12T07:12:00.000,395305923.00,subday,y,first_detection,56485.3,MJD,,no distance published (bronze: host not spectroscopically confirmed),FBOT_survey,bronze,n,,,n,"Drout+2014 ApJ 794,23 (arXiv:1405.3668)",Drout+2014 Table 1 via VizieR J/ApJ/794/23/table1; cross-checked ar5iv HTML arXiv:1405.3668,VizieR J/ApJ/794/23/table2 (first photometry point not flagged as 3-sigma upper limit),,drout14_ps1,VERIFIED,first det z_P1=22.11 mag at MJD 56485.3; discovery date 2013-07-17 (Table 1); bronze: extragalactic nature of host not spectroscopically confirmed; no redshift/distance in paper,B2,photometric rapidly-evolving transient,subday,10,comparison
DES13X1hav,,35.03250,-5.11015,2013-09-16T00:00:00.000,400982403.00,day,y,peak,56551,MJD,0.58,host spectroscopic redshift,FBOT_survey,gold,n,,,n,"Pursiainen+2018 MNRAS 481,894 (arXiv:1803.04869)","VizieR J/MNRAS/481/894/table4 (Pursiainen+2018 Table 4, J2000 sexagesimal converted)",VizieR J/MNRAS/481/894/table5 (t_peak = date of max observed g-band flux),"spec (host galaxy, OzDES; VizieR J/MNRAS/481/894/table4)",pursiainen18_des,VERIFIED,,B2,photometric rapidly-evolving transient,day,100000,comparison
DES13X3gms,,35.80112,-4.49399,2013-10-02T00:00:00.000,402364803.00,day,y,peak,56567,MJD,0.65,host spectroscopic redshift,FBOT_survey,gold,n,,,n,"Pursiainen+2018 MNRAS 481,894 (arXiv:1803.04869)","VizieR J/MNRAS/481/894/table4 (Pursiainen+2018 Table 4, J2000 sexagesimal converted)",VizieR J/MNRAS/481/894/table5 (t_peak = date of max observed g-band flux),"spec (host galaxy, OzDES; VizieR J/MNRAS/481/894/table4)",pursiainen18_des,VERIFIED,,B2,photometric rapidly-evolving transient,day,100000,comparison
DES13E2lpk,,10.09917,-43.53882,2013-10-10T00:00:00.000,403056003.00,day,y,peak,56575,MJD,0.48,host spectroscopic redshift,FBOT_survey,silver,n,,,n,"Pursiainen+2018 MNRAS 481,894 (arXiv:1803.04869)","VizieR J/MNRAS/481/894/table4 (Pursiainen+2018 Table 4, J2000 sexagesimal converted)",VizieR J/MNRAS/481/894/table5 (t_peak = date of max observed g-band flux),"spec (host galaxy, OzDES; VizieR J/MNRAS/481/894/table4)",pursiainen18_des,VERIFIED,,B2,photometric rapidly-evolving transient,day,100000,comparison
